"Date"	"Price..Open."	"Price..High."	"Price..Low."	"Price..Close."	"Real.Volume"	"Circulating.Marketcap"	"Marketcap.Dominance"
"2179"	2018-06-23	6051.96831541593	6261.11672372222	6024.56345071452	6158.9646234574	512385300.525797	103592373970.893	43.9732557708746
"2178"	2018-06-24	6158.92235985671	6258.72304144408	5763.37176035399	6148.17933880462	1004099766.96037	105436287608.16	43.7751826598113
"2177"	2018-06-25	6147.59772903215	6343.99488085159	6074.48279689134	6248.47625756865	757616951.244058	105254485411.825	44.9639275455019
"2176"	2018-06-26	6248.64097518764	6274.26534182035	6043.18557235046	6070.8459447525	517746520.45116	106995877319.873	44.9106684572163
"2175"	2018-06-27	6073.26041385383	6188.44150311643	5982.99640526677	6135.49161783538	511892120.385453	104002012401.35	45.6314741736737
"2174"	2018-06-28	6135.33871697341	6170.03064402284	5822.11880155117	5848.66315825073	568724260.495077	105077119128.167	45.3563083247961
"2173"	2018-06-29	5851.6989975343	6308.44513842757	5782.68714687165	6193.68145123386	766191796.381022	100230399031.121	45.4558913764737
"2172"	2018-06-30	6203.72640271449	6531.50427006266	6191.87878599007	6385.49254540735	673334750.365477	106271009976.911	45.747753828092
"2171"	2018-07-01	6385.02438224891	6433.1958010607	6252.92658104257	6350.11719491655	419363009.848647	109388412144.257	45.6328141325897
"2170"	2018-07-02	6347.93863352601	6678.51219566329	6270.76539610137	6613.14142302088	721131624.912416	108764247924.734	45.1746765629942
"2169"	2018-07-03	6614.72029805105	6671.91071598815	6469.49001730281	6506.55636657785	633057418.674275	113344822146.953	44.5278394132301
"2168"	2018-07-04	6502.91500753617	6783.64062287859	6404.05305674256	6584.30903782862	606922233.253871	111439905496.468	44.7891310843175
"2167"	2018-07-05	6583.28420138856	6704.08937291155	6436.44778597459	6526.7800802478	696440515.175742	112828461280.272	44.6742767360813
"2166"	2018-07-06	6529.71617980191	6632.55317097432	6439.7550875202	6599.84150175755	521721165.825788	111923439609.12	44.8793509182161
"2165"	2018-07-07	6598.59953673529	6819.04349964916	6500.92282286993	6750.23446265522	445369340.986014	113117013105.248	45.470890701941
"2164"	2018-07-08	6749.90933181372	6779.30789004923	6669.5722079628	6701.16778321478	468605734.149151	115724185019.802	45.0117557953535
"2163"	2018-07-09	6700.11020755523	6797.37334514708	6607.2171593077	6659.42592703446	531818542.338579	114881792616.496	45.1009788226743
"2162"	2018-07-10	6652.69398473227	6682.82121971058	6262.2897286078	6298.47500989363	785483522.161755	114081174859.733	45.8348029764391
"2161"	2018-07-11	6298.10149965988	6402.48064775819	6264.9131380567	6378.29935200001	591540186.536005	108011211139.153	46.3215358523955
"2160"	2018-07-12	6377.02295401791	6381.91231043925	6077.16338990288	6243.75683481494	712781432.634179	109375940489.089	46.0034212529478
"2159"	2018-07-13	6239.16686437863	6339.74310632406	6106.01899812228	6216.17314497838	580535349.320647	107022647606.886	46.3322032132977
"2158"	2018-07-14	6221.69015307399	6321.18549709652	6177.20972482963	6246.51901034438	334734045.860487	106733210676.7	45.9587258011824
"2157"	2018-07-15	6250.77711955941	6389.63083771895	6230.54173676814	6346.70058179026	451301807.614946	107242592049	46.0933338316312
"2156"	2018-07-16	6348.32910138127	6750.14848637332	6313.12399173841	6725.84245596793	849945696.248013	108925783930.2	45.624395698624
"2155"	2018-07-17	6728.4724927544	7444.19618183544	6655.45940500682	7314.95097147262	1227005214.52227	115461727788.298	45.439817065596
"2154"	2018-07-18	7316.16243804667	7583.77131492179	7232.97032213623	7373.71126883572	1340399118.17365	125562500910.53	46.1508736024892
